"TR_CODE","REPORTING_DATE","REGULATION_REFERENCE","NAME","DESCRIPTION","CPU/RAM","DATE","MIN_USAGE","AVG_USAGE","MAX_USAGE","INCIDENT_RELATED","TR_INCIDENT_ID"
"TRRGS","2024-03-15","EMIR","Cloudera"," Cloudera data warehouse","CPU","2024-01-01","0.005","0.021","0.257","No",""
"TRRGS","2024-03-15","EMIR","Cloudera"," Cloudera data warehouse","RAM","2024-01-01","0.220","0.224","0.232","No",""
"TRRGS","2024-03-15","EMIR","Cloudera"," Cloudera data warehouse","CPU","2024-01-02","0.005","0.030","0.694","No",""
"TRRGS","2024-03-15","EMIR","Cloudera"," Cloudera data warehouse","RAM","2024-01-02","0.214","0.233","0.265","No",""
"TRRGS","2024-03-15","EMIR","Cloudera"," Cloudera data warehouse","CPU","2024-01-03","0.005","0.030","0.760","No",""
"TRRGS","2024-03-15","EMIR","Cloudera"," Cloudera data warehouse","RAM","2024-01-03","0.204","0.229","0.272","No",""
"TRRGS","2024-03-15","EMIR","Cloudera"," Cloudera data warehouse","CPU","2024-01-04","0.005","0.034","0.667","No",""
"TRRGS","2024-03-15","EMIR","Cloudera"," Cloudera data warehouse","RAM","2024-01-04","0.139","0.216","0.265","No",""
"TRRGS","2024-03-15","EMIR","Cloudera"," Cloudera data warehouse","CPU","2024-01-05","0.002","0.031","0.648","No",""
"TRRGS","2024-03-15","EMIR","Cloudera"," Cloudera data warehouse","RAM","2024-01-05","0.093","0.206","0.269","No",""
"TRRGS","2024-03-15","EMIR","Cloudera"," Cloudera data warehouse","CPU","2024-01-06","0.005","0.028","0.608","No",""
"TRRGS","2024-03-15","EMIR","Cloudera"," Cloudera data warehouse","RAM","2024-01-06","0.149","0.172","0.212","No",""
"TRRGS","2024-03-15","EMIR","Cloudera"," Cloudera data warehouse","CPU","2024-01-07","0.005","0.020","0.090","No",""
"TRRGS","2024-03-15","EMIR","Cloudera"," Cloudera data warehouse","RAM","2024-01-07","0.178","0.180","0.187","No",""
"TRRGS","2024-03-15","EMIR","Cloudera"," Cloudera data warehouse","CPU","2024-01-08","0.005","0.020","0.314","No",""
"TRRGS","2024-03-15","EMIR","Cloudera"," Cloudera data warehouse","RAM","2024-01-08","0.179","0.182","0.190","No",""
