"TR_CODE","REPORTING_DATE","REGULATION_REFERENCE","NAME","DESCRIPTION","CPU/RAM","DATE","MIN_USAGE","AVG_USAGE","MAX_USAGE","INCIDENT_RELATED","TR_INCIDENT_ID"
"TRRGS","2024-01-25","EMIR","Cloudera"," Cloudera data warehouse","RAM","2024-03-14","0.185","0.220","0.256","No",""
"TRRGS","2024-01-26","EMIR","Cloudera"," Cloudera data warehouse","CPU","2024-03-14","0.005","0.026","0.195","No",""
"TRRGS","2024-01-26","EMIR","Cloudera"," Cloudera data warehouse","RAM","2024-03-14","0.204","0.215","0.248","No",""
"TRRGS","2024-01-27","EMIR","Cloudera"," Cloudera data warehouse","CPU","2024-03-14","0.005","0.024","0.251","No",""
"TRRGS","2024-01-27","EMIR","Cloudera"," Cloudera data warehouse","RAM","2024-03-14","0.181","0.208","0.232","No",""
"TRRGS","2024-01-28","EMIR","Cloudera"," Cloudera data warehouse","CPU","2024-03-14","0.005","0.026","0.440","No",""
"TRRGS","2024-01-28","EMIR","Cloudera"," Cloudera data warehouse","RAM","2024-03-14","0.159","0.206","0.226","No",""
"TRRGS","2024-01-29","EMIR","Cloudera"," Cloudera data warehouse","CPU","2024-03-14","0.005","0.024","0.318","No",""
"TRRGS","2024-01-29","EMIR","Cloudera"," Cloudera data warehouse","RAM","2024-03-14","0.150","0.205","0.231","No",""
"TRRGS","2024-01-30","EMIR","Cloudera"," Cloudera data warehouse","CPU","2024-03-14","0.005","0.033","0.797","No",""
"TRRGS","2024-01-30","EMIR","Cloudera"," Cloudera data warehouse","RAM","2024-03-14","0.153","0.214","0.270","No",""
"TRRGS","2024-01-31","EMIR","Cloudera"," Cloudera data warehouse","CPU","2024-03-14","0.003","0.035","0.444","No",""
"TRRGS","2024-01-31","EMIR","Cloudera"," Cloudera data warehouse","RAM","2024-03-14","0.127","0.199","0.252","No",""
