"TR_CODE","REPORTING_DATE","REGULATION_REFERENCE","DATA_CENTER_LOCATION","DATABASE_SERVER_OR_PLATFORM","DATE","CAPACITY","USED_CAPACITY","AVAILABLE_CAPACITY","UTILIZATION","INCIDENT_RELATED","TR_INCIDENT_ID"
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-01","17.1004","0.787","16.3134","0.046","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-02","17.1004","0.8021","16.2983","0.0469","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-03","17.1043","0.8206","16.2837","0.048","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-04","17.1046","0.8191","16.2855","0.0479","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-05","17.0989","0.8261","16.2728","0.0483","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-06","17.0732","0.8181","16.2551","0.0479","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-07","17.0753","0.8359","16.2394","0.049","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-08","17.0761","0.8286","16.2475","0.0485","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-09","17.0903","0.823","16.2673","0.0482","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-10","17.1158","0.8207","16.2951","0.0479","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-11","17.1074","0.8869","16.2205","0.0518","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-12","17.1615","0.9864","16.1751","0.0575","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-13","17.1541","1.0153","16.1388","0.0592","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-14","17.1117","1.0161","16.0956","0.0594","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-15","17.1109","1.0179","16.093","0.0595","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-16","17.1211","1.019","16.1021","0.0595","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-17","17.1291","1.0435","16.0856","0.0609","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-18","17.1216","1.0018","16.1198","0.0585","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-19","17.1389","1.053","16.0859","0.0614","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-20","17.14","1.6732","15.4668","0.0976","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-21","17.1239","1.7301","15.3938","0.101","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-22","17.1125","1.7218","15.3907","0.1006","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-23","17.1183","1.7454","15.3729","0.102","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-24","17.1417","1.7515","15.3902","0.1022","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-25","17.1739","1.6008","15.5731","0.0932","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-26","17.1779","1.6036","15.5743","0.0934","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-27","17.1525","1.0304","16.1221","0.0601","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-28","17.1241","1.0182","16.1059","0.0595","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-29","17.1236","1.0558","16.0678","0.0617","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-30","17.1312","1.0655","16.0657","0.0622","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-01-31","17.1655","1.1286","16.0369","0.0657","NO",""
"TRRGS","2024-02-29","EMIR","Cloudera","Cloudera data warehouse","2024-02-01","17.1903","1.2326","15.9577","0.0717","NO",""
