TR_CODE;REPORTING_DATE;REGULATION_REFERENCE;NAME;DESCRIPTION;CPU/RAM;DATE;MIN_USAGE;AVG_USAGE;MAX_USAGE;INCIDENT_RELATED;TR_INCIDENT_ID
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-01;0.0050;0.0210;0.2570;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-01;0.2200;0.2236;0.2317;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-02;0.0050;0.0302;0.6940;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-02;0.2136;0.2329;0.2647;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-03;0.0050;0.0303;0.7600;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-03;0.2041;0.2290;0.2725;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-04;0.0050;0.0340;0.6670;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-04;0.1385;0.2160;0.2655;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-05;0.0020;0.0314;0.6480;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-05;0.0927;0.2058;0.2691;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-06;0.0050;0.0277;0.6080;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-06;0.1494;0.1720;0.2119;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-07;0.0050;0.0197;0.0900;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-07;0.1784;0.1802;0.1874;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-08;0.0050;0.0199;0.3140;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-08;0.1792;0.1820;0.1896;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-09;0.0050;0.0206;0.4200;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-09;0.1181;0.1679;0.2282;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-10;0.0050;0.0344;0.5100;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-10;0.1221;0.1666;0.2359;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-11;0.0020;0.0275;0.5690;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-11;0.0306;0.1545;0.2191;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-12;0.0060;0.0276;0.6180;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-12;0.0947;0.1594;0.2602;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-13;0.0070;0.0386;0.6480;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-13;0.1276;0.1765;0.2449;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-14;0.0060;0.0185;0.3040;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-14;0.1547;0.1783;0.1931;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-15;0.0060;0.0188;0.3050;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-15;0.1863;0.1905;0.1991;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-16;0.0020;0.0276;0.6400;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-16;0.0830;0.1863;0.2238;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-17;0.0060;0.0173;0.4430;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-17;0.0926;0.1473;0.2167;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-18;0.0060;0.0324;0.7920;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-18;0.1232;0.1464;0.2838;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-19;0.0060;0.0364;0.4740;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-19;0.1288;0.1695;0.2738;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-20;0.0070;0.0451;0.7390;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-20;0.1383;0.1928;0.3332;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-21;0.0070;0.0257;0.1360;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-21;0.1816;0.1905;0.2311;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-22;0.0070;0.0235;0.2300;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-22;0.1855;0.1874;0.1943;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-23;0.0070;0.0261;0.3880;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-23;0.1452;0.1906;0.2219;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-24;0.0060;0.0362;0.3130;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-24;0.1775;0.2117;0.2552;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-25;0.0050;0.0306;0.3980;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-25;0.1848;0.2204;0.2558;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-26;0.0050;0.0255;0.1950;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-26;0.2042;0.2148;0.2476;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-27;0.0050;0.0245;0.2510;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-27;0.1809;0.2076;0.2324;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-28;0.0050;0.0261;0.4400;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-28;0.1594;0.2055;0.2261;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-29;0.0050;0.0244;0.3180;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-29;0.1499;0.2048;0.2311;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-30;0.0050;0.0326;0.7970;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-30;0.1526;0.2141;0.2705;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-31;0.0030;0.0354;0.4440;NO;NO
TRRGS;2024-02-29;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-31;0.1275;0.1989;0.2524;NO;NO
