TR_CODE;REPORTING_DATE;REGULATION_REFERENCE;NAME;DESCRIPTION;CPU/RAM;DATE;MIN_USAGE;AVG_USAGE;MAX_USAGE;INCIDENT_RELATED;TR_INCIDENT_ID
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-24;0.2906;0.3467;0.4179;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-25;0.0050;0.0306;0.3980;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-25;0.3026;0.3610;0.4188;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-26;0.0050;0.0255;0.1950;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-26;0.3344;0.3517;0.4055;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-27;0.0050;0.0245;0.2510;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-27;0.2962;0.3400;0.3806;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-28;0.0050;0.0261;0.4400;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-28;0.2610;0.3366;0.3703;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-29;0.0050;0.0244;0.3180;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-29;0.2454;0.3354;0.3784;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-30;0.0050;0.0326;0.7970;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-30;0.2499;0.3505;0.4429;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-31;0.0030;0.0354;0.4440;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-31;0.2088;0.3257;0.4134;NO;
